Title,Author,Genre,My_Rating,Average_Rating,Pages,Original_Publication_Year,Date_Read,Month,Day,Year,Date_Added,SeasonColours,rating_gap
Three Women,Lisa Taddeo,Non-fiction,5,3.72,306,2019,9/8/2019,9,8,2019,2019/05/07,#f4a582,1.28
The Raw Shark Texts,Steven  Hall,Lit-fic,4,3.83,427,2007,9/1/2019,9,1,2019,2019/01/24,#f4a582,0.17
The Place on Dalhousie,Melina Marchetta,Lit-fic,4,4.16,288,2019,9/1/2019,9,1,2019,2018/12/09,#f4a582,-0.16
The Perfect Nanny,Leïla Slimani,Lit-fic,4,3.39,228,2016,9/1/2019,9,1,2019,2018/12/25,#f4a582,0.61
Evening in Paradise: More Stories,Lucia Berlin,Lit-fic,4,3.94,244,1981,7/20/2019,7,20,2019,2018/12/24,#0571b0,0.06
The Runaways,Bhutto Fatima,Lit-fic,3,3.37,432,2019,6/27/2019,6,27,2019,2019/05/05,#0571b0,-0.37
Strange Weather in Tokyo,Hiromi Kawakami,Lit-fic,4,3.72,176,2001,6/7/2019,6,7,2019,2019/06/02,#0571b0,0.28
My Absolute Darling,Gabriel Tallent,Lit-fic,3,3.61,417,2017,6/2/2019,6,2,2019,2019/05/30,#0571b0,-0.61
Kitchen,Banana Yoshimoto,Lit-fic,5,3.89,160,1988,5/18/2019,5,18,2019,2019/05/18,#92c5de,1.11
The Wife,Meg Wolitzer,Lit-fic,3,3.69,219,2003,5/16/2019,5,16,2019,2019/05/16,#92c5de,-0.69
Convenience Store Woman,Sayaka Murata,Lit-fic,5,3.7,163,2016,5/12/2019,5,12,2019,2018/12/24,#92c5de,1.3
Tokyo Vice: An American Reporter on the Police Beat in Japan,Jake Adelstein,Non-fiction,4,3.91,335,2009,5/11/2019,5,11,2019,2018/02/23,#92c5de,0.09
Bad Blood: Secrets and Lies in a Silicon Valley Startup,John Carreyrou,Non-fiction,5,4.41,339,2018,4/28/2019,4,28,2019,2019/03/19,#92c5de,0.59
The Bricks that Built the Houses,Kae Tempest,Lit-fic,4,3.8,416,2016,4/23/2019,4,23,2019,2019/04/23,#92c5de,0.2
"My Sister, the Serial Killer",Oyinkan Braithwaite,Lit-fic,3,3.68,226,2018,4/24/2019,4,24,2019,2019/01/24,#92c5de,-0.68
The Wind-Up Bird Chronicle,Haruki Murakami,Lit-fic,5,4.15,607,1994,4/23/2019,4,23,2019,2019/03/21,#92c5de,0.85
"You Think It, I'll Say It",Curtis Sittenfeld,Lit-fic,5,3.66,256,2017,3/21/2019,3,21,2019,2018/06/29,#92c5de,1.34
My Year of Rest and Relaxation,Ottessa Moshfegh,Lit-fic,4,3.66,289,2018,3/16/2019,3,16,2019,2018/12/04,#92c5de,0.34
A Manual for Cleaning Women: Selected Stories,Lucia Berlin,Lit-fic,5,4.2,406,2015,3/6/2019,3,6,2019,2018/12/24,#92c5de,0.8
Enigma Variations,André Aciman,Lit-fic,4,3.65,266,2017,2/22/2019,2,22,2019,2019/02/07,#ca0020,0.35
There There,Tommy Orange,Lit-fic,5,3.98,294,2018,2/7/2019,2,7,2019,2018/12/04,#ca0020,1.02
The Penelopiad,Margaret Atwood,Lit-fic,3,3.72,198,2005,1/28/2019,1,28,2019,2019/01/27,#ca0020,-0.72
"The Silence of the Girls (Women of Troy, #1)",Pat Barker,Lit-fic,5,3.9,325,2018,1/27/2019,1,27,2019,2018/10/17,#ca0020,1.1
Any Ordinary Day,Leigh Sales,Non-fiction,4,4.13,244,2018,1/24/2019,1,24,2019,2019/01/24,#ca0020,-0.13
One Hundred Years of Dirt,Rick  Morton,Non-fiction,4,4.07,277,2018,1/15/2019,1,15,2019,2018/08/30,#ca0020,-0.07
A Little Life,Hanya Yanagihara,Lit-fic,5,4.34,720,2015,1/13/2019,1,13,2019,2018/12/31,#ca0020,0.66
When Breath Becomes Air,Paul Kalanithi,Non-fiction,5,4.4,208,2016,12/29/2018,12,29,2018,2018/12/28,#ca0020,0.6
"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,Lit-fic,5,4.13,314,1985,12/27/2018,12,27,2018,2018/12/25,#ca0020,0.87
An American Marriage,Tayari Jones,Lit-fic,4,3.94,308,2018,12/23/2018,12,23,2018,2018/04/05,#ca0020,0.06
HOMO sapienne,Niviaq Korneliussen,Lit-fic,2,3.59,182,2014,12/16/2018,12,16,2018,2018/12/16,#ca0020,-1.59
This is the Story of a Happy Marriage,Ann Patchett,Lit-fic,4,4,308,2013,12/16/2018,12,16,2018,2018/02/23,#ca0020,0
Homesick for Another World,Ottessa Moshfegh,Lit-fic,3,3.63,294,2017,12/15/2018,12,15,2018,2018/03/06,#ca0020,-0.63
House of Names,Colm Tóibín,Lit-fic,4,3.58,272,2017,12/9/2018,12,9,2018,2018/10/22,#ca0020,0.42
Axiomatic,Maria Tumarkin,Lit-fic,5,4.1,142,2018,12/4/2018,12,4,2018,2018/11/25,#ca0020,0.9
The Girls at the Kingfisher Club,Genevieve Valentine,Lit-fic,3,3.8,277,2014,11/24/2018,11,24,2018,2018/08/18,#f4a582,-0.8
Educated,Tara Westover,Non-fiction,5,4.47,352,2018,11/20/2018,11,20,2018,2018/11/17,#f4a582,0.53
"The Hate U Give (The Hate U Give, #1)",Angie Thomas,Lit-fic,5,4.48,454,2017,11/14/2018,11,14,2018,2018/10/29,#f4a582,0.52
The Lost Man,Jane Harper,Lit-fic,5,4.16,340,2018,10/28/2018,10,28,2018,2018/09/30,#f4a582,0.84
Independent People,Halldór Laxness,Lit-fic,4,4.14,482,1934,10/19/2018,10,19,2018,2018/06/19,#f4a582,-0.14
Mr. Fox,Helen Oyeyemi,Lit-fic,4,3.57,278,2011,10/12/2018,10,12,2018,2018/05/02,#f4a582,0.43
Nine Perfect Strangers,Liane Moriarty,Lit-fic,4,3.55,453,2018,10/11/2018,10,11,2018,2018/10/11,#f4a582,0.45
Asymmetry,Lisa Halliday,Lit-fic,5,3.43,277,2018,10/7/2018,10,7,2018,2018/03/06,#f4a582,1.57
Balcony Over Jerusalem: A Middle East Memoir,John Lyons,Non-fiction,5,4.3,384,NA,10/2/2018,10,2,2018,2018/09/29,#f4a582,0.7
